artistID,name,spotify_link
1,Luci,
2,Lil Darkie,https://open.spotify.com/artist/62F9BiUmjqeXbBztCwiX1U
3,Terror Reid,https://open.spotify.com/artist/5No9X0ZejwFDnD1dVllwQA
4,sxmpra,https://open.spotify.com/artist/14uo609t1MvRGZcskySt9R
5,kxllswxtch,https://open.spotify.com/artist/2VDZoCBGjxbHJbnzSX5nP6
6,savage ga$p,https://open.spotify.com/artist/0x7qiZJaal6j8qS7yCydFk
7,kamaara,https://open.spotify.com/artist/06d6Jun2N1hugnXeN98kQ0
8,Little Bessie,
9,Paper Moon Conspiracy,
10,Dylan and Declan,
11,In Plain Air,https://open.spotify.com/artist/4UL3LWBkao4dkOG0EpdWKA
12,Khemmis,https://open.spotify.com/artist/5Dejhd4zYKEUm6q1FLr1ik
13,of feather and bone,https://open.spotify.com/artist/5XzSFsryd7K6doIsrQQxsd
14,hashtronaut,https://open.spotify.com/artist/0LyvksEYHDOfejjF7SqK3w
15,PONS,
16,Bitchflower,https://open.spotify.com/artist/1YK51P2SnceqRWqn9Ugwdt
17,Plastik Mystik,
18,Teletunes,
19,vj rich italiano,
20,vj eli,
21,James Grebb,https://open.spotify.com/artist/2Vp3jJFclQrkWlMsni8q6I
22,BLAS,
23,TUUNA,
24,BEAVS,
25,Kenyon,
26,Lawnce,
27,Just Dave,
28,DJ Dungheap,
29,chokecherry,https://open.spotify.com/artist/6FO0bkcJ4D8MJ1REvBRhNT
30,the sewing club,https://open.spotify.com/artist/4dEUp9bmI8xPLDdVfEN24Q
31,blackberry crush,https://open.spotify.com/artist/3V8tkFbF3Fo5X1ohLdRGfz
32,moonpool,https://open.spotify.com/artist/5WyUsskvo01GwJXkhfKju3
33,David Mesquitic Quintet,
34,The Long Run,
35,Salads And Sunbeams,https://open.spotify.com/artist/2AayVlDNC6seWpJgBXmihA
36,Gadget Cats,https://open.spotify.com/artist/1oJlN5pxr7EIqp5nPoeg3E
37,Jim Adame,
38,Reap The Haunted,
39,Signs of Tranquility,https://open.spotify.com/artist/6IJSPNrGk7y8JQOxZlEknh
40,Divine Demise,https://open.spotify.com/artist/0mFJW0tOC7RVnY0xbg0wbb
41,Hi-Dive Blues Band,
42,Push Pass,
43,Noah Orlowski,https://open.spotify.com/artist/7yc7OKfQ9nWoIZBvIk4oBL
44,Underswell,
45,the so-and-sos,
46,Social Murder Jr,
47,poudre valley playboys,https://open.spotify.com/artist/4RLw74mmRnjBVagj1CUcXS
48,Layz,
49,Bobby Guard,https://open.spotify.com/artist/4DCaSD2YuHkBuAYj5b47d1
50,CHUCK,
51,A Strange Happening,https://open.spotify.com/artist/3auRh2iIPOCJukscqKcAEd
52,The Standalones,
53,Speedy JD,
54,El Santo and The Mean Machine,https://open.spotify.com/artist/42NZoAKfnGW42QDd59t02u
55,KVKO,
56,community garbage,
57,Tasba,
58,Lady Arys,
59,Tom Evans,https://open.spotify.com/artist/0a8R0F182UvwpAwHX0KyIc
60,Deep Blue,
61,The Taylor Clay Quintet,
