venue,eventName,Date,Time,Link,liveMusic,artistIDs,price
Church Nightclub,Luci,2025-12-20,,https://churchnightclubco.com/event/luci-upcoming-edm-shows-nightlife-concerts-events-tonight-tomorrow-2025-dec-4-best-nightclub-near-me-denver-co/,yes,1,24.95
Fillmore,Lil Darkie - The Greatest Show In Human History,2025-12-20,,https://www.ticketmaster.com/lil-darkie-the-greatest-show-in-denver-colorado-12-20-2025/event/1E0062BED09D4F66,yes,"2, 3, 4, 5, 6, 7",64.75
Globe Hall,Little Bessie & Paper Moon Conspiracy w/ Dylan and Declan + In Plain Air,2025-12-20,19:00,https://globehall.com/event/little-bessie-paper-moon-conspiracy-w-dylan-and-declan-in-plain-air/globe-hall/denver-colorado/,yes,"8, 9, 10, 11",24.80
Gothic Theatre,"Khemmis - ""Absolution"" 10 Year Anniversary",2025-12-20,20:00,https://www.gothictheatre.com/events/detail?event_id=1147946,yes,"12, 13, 14",49.49
Hi Dive,PONS + Bitchflower + Plastik Mystik,2025-12-20,20:00,https://hi-dive.com/listing/pons-bitchflower-plastik-mystik/,yes,"15, 16, 17",15
HQ,Teletunes Music Video Dance Party,2025-12-20,20:00,http://hqdenver.holdmyticket.com/tickets/455645,yes,"18, 19, 20",7.75
Larimer Lounge,Open House presents an Abstract House Holiday Feat. James Grebb w/ BLAS b2b TUUNA + BEAVS (FREE BEFORE 11),2025-12-20,21:00,https://larimerlounge.com/event/open-house-presents-an-abstract-house-holiday-feat-james-grebb-w-blas-b2b-tuuna-beavs-free-before-11/larimer-lounge/denver-colorado/,yes,"21, 22, 23, 24",0
Larimer Lounge,Ski House – Kenyon & Friends – Lawnce – Just Dave (FREE EVENT),2025-12-20,21:00,https://larimerlounge.com/event/ski-house-kenyon-friends-lawnce-just-dave-free-event/ski-house/denver-colorado/,yes,"25, 26, 27",0
Lions Lair,DJ Dungheap,2025-12-20,17:00,https://www.lionslairco.com/events/dj-dungheap-g37r4-en6dr-d94g4-9ntwj-2tx96-axkfx-zamsn-hw8mt-lwzep-l8e5f-7kdca-7n587-69b8l-pcc5m-b8eym-4kcly-hspda-w9aes,yes,28,0
Marquis,chokecherry,2025-12-20,18:30,https://www.ticketmaster.com/chokecherry-denver-colorado-12-20-2025/event/1E00630BD7494DF8,yes,"29, 30, 31, 32",56
